"","x","y","type"
"1",1,1,"inducted"
"2",2,1,"inducted"
"3",3,1,"inducted"
"4",4,1,"inducted"
"5",5,1,"inducted"
"6",6,1,"inducted"
"7",7,1,"inducted"
"8",8,1,"inducted"
"9",9,1,"inducted"
"10",10,1,"inducted"
"11",1,2,"inducted"
"12",2,2,"inducted"
"13",3,2,"inducted"
"14",4,2,"inducted"
"15",5,2,"inducted"
"16",6,2,"inducted"
"17",7,2,"inducted"
"18",8,2,"inducted"
"19",9,2,"inducted"
"20",10,2,"inducted"
"21",1,3,"eligible"
"22",2,3,"eligible"
"23",3,3,"eligible"
"24",4,3,"eligible"
"25",5,3,"eligible"
"26",6,3,"eligible"
"27",7,3,"eligible"
"28",8,3,"eligible"
"29",9,3,"eligible"
"30",10,3,"eligible"
"31",1,4,"eligible"
"32",2,4,"eligible"
"33",3,4,"eligible"
"34",4,4,"eligible"
"35",5,4,"eligible"
"36",6,4,"eligible"
"37",7,4,"eligible"
"38",8,4,"eligible"
"39",9,4,"eligible"
"40",10,4,"eligible"
"41",1,5,"eligible"
"42",2,5,"eligible"
"43",3,5,"eligible"
"44",4,5,"eligible"
"45",5,5,"eligible"
"46",6,5,"eligible"
"47",7,5,"eligible"
"48",8,5,"eligible"
"49",9,5,"eligible"
"50",10,5,"eligible"
"51",1,6,"eligible"
"52",2,6,"eligible"
"53",3,6,"eligible"
"54",4,6,"eligible"
"55",5,6,"eligible"
"56",6,6,"eligible"
"57",7,6,"eligible"
"58",8,6,"eligible"
"59",9,6,"eligible"
"60",10,6,"eligible"
"61",1,7,"eligible"
"62",2,7,"eligible"
"63",3,7,"eligible"
"64",4,7,"eligible"
"65",5,7,"eligible"
"66",6,7,"eligible"
"67",7,7,"eligible"
"68",8,7,"eligible"
"69",9,7,"eligible"
"70",10,7,"eligible"
"71",1,8,"eligible"
"72",2,8,"eligible"
"73",3,8,"eligible"
"74",4,8,"eligible"
"75",5,8,"eligible"
"76",6,8,"eligible"
"77",7,8,"eligible"
"78",8,8,"eligible"
"79",9,8,"eligible"
"80",10,8,"eligible"
"81",1,9,"all"
"82",2,9,"all"
"83",3,9,"all"
"84",4,9,"all"
"85",5,9,"all"
"86",6,9,"all"
"87",7,9,"all"
"88",8,9,"all"
"89",9,9,"all"
"90",10,9,"all"
"91",1,10,"all"
"92",2,10,"all"
"93",3,10,"all"
"94",4,10,"all"
"95",5,10,"all"
"96",6,10,"all"
"97",7,10,"all"
"98",8,10,"all"
"99",9,10,"all"
"100",10,10,"all"
"101",1,11,"all"
"102",2,11,"all"
"103",3,11,"all"
"104",4,11,"all"
"105",5,11,"all"
"106",6,11,"all"
"107",7,11,"all"
"108",8,11,"all"
"109",9,11,"all"
"110",10,11,"all"
"111",1,12,"all"
"112",2,12,"all"
"113",3,12,"all"
"114",4,12,"all"
"115",5,12,"all"
"116",6,12,"all"
"117",7,12,"all"
"118",8,12,"all"
"119",9,12,"all"
"120",10,12,"all"
"121",1,13,"all"
"122",2,13,"all"
"123",3,13,"all"
"124",4,13,"all"
"125",5,13,"all"
"126",6,13,"all"
"127",7,13,"all"
"128",8,13,"all"
"129",9,13,"all"
"130",10,13,"all"
"131",1,14,"all"
"132",2,14,"all"
"133",3,14,"all"
"134",4,14,"all"
"135",5,14,"all"
"136",6,14,"all"
"137",7,14,"all"
"138",8,14,"all"
"139",9,14,"all"
"140",10,14,"all"
"141",1,15,"all"
"142",2,15,"all"
"143",3,15,"all"
"144",4,15,"all"
"145",5,15,"all"
"146",6,15,"all"
"147",7,15,"all"
"148",8,15,"all"
"149",9,15,"all"
"150",10,15,"all"
"151",1,16,"all"
"152",2,16,"all"
"153",3,16,"all"
"154",4,16,"all"
"155",5,16,"all"
"156",6,16,"all"
"157",7,16,"all"
"158",8,16,"all"
"159",9,16,"all"
"160",10,16,"all"
"161",1,17,"all"
"162",2,17,"all"
"163",3,17,"all"
"164",4,17,"all"
"165",5,17,"all"
"166",6,17,"all"
"167",7,17,"all"
"168",8,17,"all"
"169",9,17,"all"
"170",10,17,"all"
"171",1,18,"all"
"172",2,18,"all"
"173",3,18,"all"
"174",4,18,"all"
"175",5,18,"all"
"176",6,18,"all"
"177",7,18,"all"
"178",8,18,"all"
"179",9,18,"all"
"180",10,18,"all"
"181",1,19,"all"
"182",2,19,"all"
"183",3,19,"all"
"184",4,19,"all"
"185",5,19,"all"
"186",6,19,"all"
"187",7,19,"all"
"188",8,19,"all"
"189",9,19,"all"
"190",10,19,"all"
"191",1,20,"all"
"192",2,20,"all"
"193",3,20,"all"
"194",4,20,"all"
"195",5,20,"all"
"196",6,20,"all"
"197",7,20,"all"
"198",8,20,"all"
"199",9,20,"all"
"200",10,20,"all"
